0.192 0.172 0.192 0.172 0.361 0.361 0.208 0.198 0.361 0.198 0.213 0.274 0.182 0.202 0.269 0.361 0.172 0.178 0.183 0.187 0.234 0.192 0.197 0.361 0.361 0.193 0.202 0.167 0.222 0.223 0.249 0.162 0.208 0.197 0.361 0.361 0.361 0.178 0.209 0.218 0.182 0.239 0.361 0.192 0.361 0.361 0.213 0.208 0.361 0.187 0.361 0.182 0.361 0.258 0.361 0.192 0.361 0.361 0.177 0.361 0.223 0.233 0.361 0.223 0.157 0.212 0.214 0.361 0.198 0.361 0.238 0.223 0.188 0.239 0.182 0.243 0.223 0.218 0.218 0.187 0.223 0.198 0.361 0.218 0.172 0.172 0.187 0.192 0.234 0.269 0.361 0.192 0.187 0.172 0.193 0.248 0.177 0.213 0.269 0.223
0.045 0.073 0.020 0.048 0.224 0.224 0.025 0.050 0.224 0.115 0.060 0.052 0.040 0.055 0.028 0.224 0.113 0.035 0.052 0.042 0.048 0.023 0.214 0.224 0.224 0.048 0.052 0.173 0.080 0.052 0.015 0.090 0.060 0.017 0.224 0.224 0.224 0.035 0.015 0.224 0.038 0.058 0.224 0.013 0.224 0.224 0.055 0.058 0.224 0.038 0.224 0.048 0.224 0.015 0.224 0.013 0.224 0.224 0.075 0.224 0.224 0.065 0.224 0.045 0.158 0.058 0.040 0.224 0.063 0.224 0.070 0.183 0.035 0.058 0.041 0.010 0.045 0.052 0.203 0.013 0.013 0.017 0.224 0.010 0.051 0.143 0.042 0.033 0.047 0.058 0.224 0.046 0.043 0.012 0.050 0.050 0.041 0.040 0.037 0.007
0.031 0.106 0.008 0.042 0.484 0.484 0.028 0.040 0.362 0.114 0.415 0.114 0.035 0.241 0.045 0.208 0.105 0.032 0.045 0.041 0.070 0.011 0.482 0.484 0.207 0.036 0.114 0.061 0.484 0.074 0.007 0.114 0.078 0.007 0.484 0.484 0.354 0.032 0.007 0.054 0.048 0.117 0.484 0.014 0.484 0.484 0.072 0.072 0.090 0.041 0.125 0.029 0.484 0.010 0.484 0.008 0.090 0.105 0.114 0.159 0.127 0.086 0.091 0.062 0.093 0.366 0.070 0.415 0.056 0.085 0.072 0.484 0.036 0.117 0.045 0.007 0.073 0.284 0.344 0.007 0.007 0.008 0.094 0.007 0.035 0.045 0.035 0.031 0.076 0.415 0.484 0.025 0.042 0.028 0.040 0.241 0.045 0.073 0.165 0.007
0.075 0.100 0.075 0.075 0.333 0.333 0.125 0.125 0.333 0.308 0.333 0.233 0.125 0.333 0.283 0.333 0.258 0.025 0.050 0.075 0.158 0.075 0.333 0.333 0.333 0.158 0.233 0.333 0.333 0.233 0.025 0.175 0.258 0.075 0.333 0.333 0.333 0.025 0.075 0.333 0.050 0.283 0.333 0.075 0.333 0.333 0.158 0.258 0.333 0.075 0.333 0.075 0.333 0.050 0.333 0.075 0.333 0.333 0.075 0.333 0.333 0.175 0.333 0.075 0.333 0.333 0.208 0.333 0.333 0.333 0.258 0.333 0.125 0.283 0.075 0.100 0.258 0.283 0.333 0.075 0.100 0.075 0.333 0.100 0.075 0.333 0.075 0.100 0.183 0.333 0.333 0.075 0.075 0.050 0.125 0.333 0.075 0.233 0.258 0.100
0.356 0.376 0.310 0.343 0.439 0.439 0.376 0.330 0.439 0.405 0.439 0.442 0.363 0.439 0.439 0.439 0.409 0.316 0.316 0.392 0.402 0.327 0.439 0.439 0.439 0.416 0.442 0.439 0.439 0.406 0.320 0.373 0.399 0.303 0.439 0.439 0.439 0.316 0.303 0.439 0.346 0.419 0.439 0.271 0.439 0.439 0.389 0.409 0.439 0.392 0.439 0.366 0.439 0.389 0.439 0.330 0.439 0.439 0.323 0.439 0.439 0.393 0.439 0.412 0.439 0.439 0.415 0.439 0.439 0.439 0.409 0.439 0.363 0.419 0.323 0.307 0.422 0.439 0.439 0.323 0.271 0.323 0.439 0.280 0.310 0.439 0.392 0.340 0.406 0.439 0.439 0.356 0.412 0.402 0.327 0.439 0.323 0.399 0.439 0.251
0.313 0.435 0.154 0.334 0.959 0.959 0.253 0.274 0.959 0.181 0.082 0.145 0.119 0.058 0.041 0.959 0.473 0.204 0.299 0.171 0.139 0.167 0.420 0.959 0.959 0.317 0.171 0.565 0.038 0.137 0.053 0.520 0.220 0.129 0.959 0.192 0.959 0.204 0.081 0.628 0.174 0.200 0.959 0.084 0.959 0.959 0.143 0.214 0.922 0.215 0.959 0.304 0.434 0.050 0.959 0.131 0.921 0.791 0.508 0.959 0.821 0.186 0.922 0.137 0.623 0.120 0.164 0.959 0.303 0.922 0.178 0.207 0.166 0.200 0.237 0.072 0.164 0.130 0.479 0.130 0.076 0.138 0.809 0.074 0.353 0.341 0.232 0.111 0.169 0.081 0.959 0.257 0.166 0.293 0.269 0.035 0.237 0.166 0.090 0.072
0.185 0.218 0.139 0.192 0.730 0.730 0.205 0.205 0.730 0.448 0.659 0.540 0.186 0.613 0.514 0.730 0.303 0.146 0.172 0.192 0.277 0.139 0.730 0.730 0.730 0.303 0.540 0.605 0.645 0.264 0.159 0.302 0.337 0.133 0.730 0.730 0.730 0.146 0.133 0.730 0.179 0.410 0.730 0.218 0.730 0.730 0.330 0.304 0.730 0.192 0.730 0.185 0.730 0.225 0.730 0.139 0.730 0.730 0.211 0.730 0.730 0.277 0.730 0.232 0.493 0.665 0.276 0.730 0.553 0.730 0.375 0.730 0.186 0.410 0.146 0.199 0.245 0.652 0.730 0.139 0.172 0.139 0.730 0.159 0.178 0.730 0.192 0.153 0.283 0.659 0.730 0.185 0.232 0.218 0.212 0.613 0.146 0.283 0.593 0.192
0.422 0.422 0.388 0.422 0.422 0.422 0.422 0.422 0.422 0.421 0.400 0.451 0.434 0.292 0.314 0.422 0.422 0.422 0.422 0.469 0.482 0.422 0.422 0.422 0.422 0.422 0.448 0.422 0.288 0.439 0.253 0.422 0.391 0.297 0.422 0.422 0.422 0.422 0.254 0.422 0.465 0.409 0.422 0.298 0.422 0.422 0.474 0.430 0.422 0.444 0.422 0.422 0.422 0.314 0.422 0.293 0.422 0.422 0.431 0.422 0.422 0.405 0.422 0.451 0.422 0.421 0.430 0.422 0.422 0.422 0.435 0.427 0.431 0.409 0.422 0.328 0.430 0.422 0.422 0.293 0.340 0.319 0.422 0.357 0.422 0.422 0.427 0.435 0.417 0.504 0.422 0.422 0.469 0.315 0.422 0.270 0.422 0.434 0.482 0.314
0.342 0.449 0.277 0.355 0.630 0.630 0.307 0.327 0.630 0.437 0.435 0.393 0.349 0.463 0.414 0.630 0.464 0.313 0.342 0.334 0.384 0.299 0.630 0.630 0.630 0.319 0.386 0.565 0.456 0.364 0.262 0.478 0.412 0.263 0.630 0.630 0.630 0.313 0.277 0.630 0.355 0.350 0.630 0.298 0.630 0.630 0.310 0.378 0.630 0.334 0.630 0.342 0.630 0.270 0.630 0.277 0.630 0.630 0.355 0.630 0.630 0.377 0.630 0.320 0.573 0.414 0.342 0.630 0.478 0.630 0.421 0.630 0.349 0.350 0.371 0.284 0.361 0.392 0.630 0.270 0.276 0.270 0.630 0.305 0.355 0.630 0.320 0.313 0.363 0.435 0.630 0.320 0.320 0.363 0.342 0.463 0.371 0.385 0.385 0.270
0.240 0.200 0.210 0.190 0.450 0.450 0.250 0.210 0.450 0.340 0.450 0.390 0.270 0.450 0.370 0.450 0.190 0.170 0.180 0.270 0.250 0.210 0.450 0.450 0.450 0.230 0.390 0.330 0.450 0.220 0.200 0.220 0.230 0.220 0.450 0.450 0.450 0.170 0.220 0.450 0.240 0.330 0.450 0.160 0.450 0.450 0.260 0.250 0.450 0.270 0.450 0.230 0.450 0.200 0.450 0.210 0.450 0.450 0.180 0.450 0.450 0.240 0.450 0.260 0.190 0.450 0.260 0.450 0.430 0.450 0.320 0.450 0.270 0.330 0.160 0.230 0.260 0.440 0.450 0.210 0.220 0.210 0.450 0.200 0.200 0.450 0.270 0.230 0.270 0.450 0.450 0.240 0.260 0.260 0.220 0.450 0.150 0.240 0.430 0.210
